ID|iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION_x|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|NUM_ZORE|CIRCUNSCRIPCION|CASILLA|entidad|distrito_f|municipio|seccion|CLAVEGEO|ENTIDAD|DISTRITO|MUNICIPIO|SECCION_y|OCUPVIVPAR|PROM_OCUP|PRO_OCUP_C|VIVTOT|TVIVHAB|TVIVPAR|TVIVPARHAB|VIVPAR_DES|VIVPAR_UT|VIVPAR_HAB|VPH_3YMASC|VPH_2CUART|VPH_2YMASD|VPH_PISODT|VPH_PISOTI|VPH_1DOR|VPH_1CUART|VPH_AGUADV|VPH_AUTOM|VPH_PC|VPH_DRENAJ|VPH_EXCSA|VPH_INTER|VPH_LAVAD|VPH_TELEF|VPH_C_ELEC|VPH_C_SERV|VPH_RADIO|VPH_REFRI|VPH_CEL|VPH_TV|VPH_AGUAFV|VPH_NODREN|VPH_S_ELEC|VPH_SNBIEN|casilla
A01010344C0300|1|1|344|C|3|0|3|626|2|2|1||1||6|1|2|C3|1.0|1.0|2.0|344.0|100100200344.0|1.0|1.0|2.0|344.0|3482.0|4.72|1.25|848.0|737.0|848.0|737.0|89.0|22.0|737.0|600.0|110.0|496.0|717.0|18.0|238.0|23.0|685.0|306.0|58.0|591.0|619.0|9.0|530.0|210.0|707.0|563.0|601.0|577.0|248.0|689.0|49.0|136.0|23.0|12.0|C3
A01010356C0100|1|1|356|C|1|0|1|650|3|8|1||1||15|4|2|C1|1.0|1.0|3.0|356.0|100100300356.0|1.0|1.0|3.0|356.0|3336.0|4.59|1.26|847.0|727.0|847.0|727.0|76.0|44.0|727.0|566.0|130.0|493.0|710.0|17.0|233.0|28.0|726.0|323.0|116.0|724.0|723.0|59.0|584.0|356.0|725.0|723.0|557.0|644.0|370.0|705.0|0.0|2.0|1.0|6.0|C1
A01010358B0100|1|1|358|B|1|0|1|681|3|8|1||1||16|4|2|B1|1.0|1.0|3.0|358.0|100100300358.0|1.0|1.0|3.0|358.0|4355.0|4.54|1.32|1136.0|961.0|1135.0|960.0|114.0|61.0|960.0|748.0|159.0|655.0|930.0|19.0|301.0|46.0|949.0|463.0|166.0|951.0|950.0|95.0|760.0|402.0|955.0|945.0|782.0|882.0|551.0|937.0|5.0|4.0|1.0|2.0|B1
A01010362S0100|1|1|362|S|1|0|1|0|3|8|1||1||29|3|2|S1|1.0|1.0|3.0|362.0|100100300362.0|1.0|1.0|3.0|362.0|2523.0|4.24|1.08|740.0|596.0|739.0|595.0|79.0|65.0|595.0|490.0|79.0|396.0|561.0|30.0|196.0|22.0|569.0|306.0|141.0|584.0|587.0|90.0|496.0|364.0|590.0|568.0|499.0|544.0|278.0|583.0|21.0|7.0|2.0|1.0|S1
A01010363B0100|1|1|363|B|1|0|1|638|3|8|1||1||19|4|2|B1|1.0|1.0|3.0|363.0|100100300363.0|1.0|1.0|3.0|363.0|2513.0|4.79|1.32|572.0|525.0|572.0|525.0|41.0|6.0|525.0|395.0|91.0|343.0|505.0|20.0|182.0|37.0|522.0|221.0|80.0|525.0|523.0|49.0|415.0|260.0|523.0|520.0|405.0|442.0|250.0|508.0|3.0|0.0|2.0|2.0|B1
A01010363C0200|1|1|363|C|2|0|1|637|3|8|1||1||19|4|2|C2|1.0|1.0|3.0|363.0|100100300363.0|1.0|1.0|3.0|363.0|2513.0|4.79|1.32|572.0|525.0|572.0|525.0|41.0|6.0|525.0|395.0|91.0|343.0|505.0|20.0|182.0|37.0|522.0|221.0|80.0|525.0|523.0|49.0|415.0|260.0|523.0|520.0|405.0|442.0|250.0|508.0|3.0|0.0|2.0|2.0|C2
A01010370C0100|1|1|370|C|1|0|2|681|3|8|1||1||23|3|2|C1|1.0|1.0|3.0|370.0|100100300370.0|1.0|1.0|3.0|370.0|1520.0|4.31|1.08|497.0|354.0|496.0|354.0|100.0|43.0|353.0|307.0|34.0|253.0|349.0|4.0|100.0|11.0|347.0|185.0|40.0|351.0|351.0|2.0|294.0|182.0|353.0|345.0|296.0|323.0|148.0|344.0|6.0|2.0|0.0|2.0|C1
A01010377C0100|1|1|377|C|1|0|1|506|3|8|1||1||28|3|2|C1|1.0|1.0|3.0|377.0|100100300377.0|1.0|1.0|3.0|377.0|1637.0|3.66|0.99|555.0|447.0|555.0|447.0|64.0|44.0|447.0|373.0|70.0|288.0|438.0|8.0|159.0|4.0|441.0|198.0|57.0|445.0|446.0|17.0|373.0|228.0|446.0|439.0|325.0|423.0|186.0|432.0|6.0|2.0|1.0|1.0|C1
A01010390C0100|1|1|390|C|1|0|2|749|4|1|1||1||36|5|2|C1|1.0|1.0|4.0|390.0|100100400390.0|1.0|1.0|4.0|390.0|3231.0|4.46|1.23|807.0|725.0|806.0|725.0|65.0|17.0|724.0|552.0|107.0|455.0|716.0|7.0|267.0|63.0|704.0|333.0|84.0|690.0|675.0|20.0|461.0|224.0|704.0|671.0|576.0|574.0|353.0|691.0|19.0|32.0|18.0|6.0|C1
A01010392C0700|1|1|392|C|7|0|2|749|5|7|1||1||93|9|2|C7|1.0|1.0|5.0|392.0|100100500392.0|1.0|1.0|5.0|392.0|8210.0|4.72|1.44|2160.0|1748.0|2153.0|1748.0|371.0|41.0|1741.0|1282.0|306.0|1170.0|1656.0|80.0|567.0|148.0|1675.0|786.0|249.0|1692.0|1700.0|116.0|1268.0|476.0|1711.0|1644.0|1526.0|1480.0|1162.0|1685.0|61.0|45.0|25.0|13.0|C7
A01010397C0200|1|1|397|C|2|0|1|722|5|7|1||1||101|6|2|C2|1.0|1.0|5.0|397.0|100100500397.0|1.0|1.0|5.0|397.0|12890.0|4.45|1.16|3632.0|2908.0|3618.0|2908.0|603.0|121.0|2894.0|2466.0|303.0|2177.0|2802.0|79.0|705.0|108.0|2864.0|1644.0|900.0|2864.0|2872.0|531.0|2322.0|1311.0|2874.0|2844.0|2555.0|2615.0|2157.0|2823.0|19.0|18.0|14.0|16.0|C2
A01010399C0100|1|1|399|C|1|0|3|501|5|7|1||1||104|9|2|C1|1.0|1.0|5.0|399.0|100100500399.0|1.0|1.0|5.0|399.0|2054.0|4.71|1.23|607.0|439.0|604.0|439.0|112.0|56.0|436.0|365.0|59.0|306.0|426.0|10.0|129.0|12.0|420.0|291.0|49.0|423.0|426.0|15.0|360.0|101.0|432.0|410.0|377.0|403.0|273.0|421.0|15.0|12.0|4.0|1.0|C1
A01010404C0100|1|1|404|C|1|0|3|397|10|4|1||1||83|18|2|C1|1.0|1.0|10.0|404.0|100101000404.0|1.0|1.0|10.0|404.0|1053.0|5.09|1.16|241.0|208.0|240.0|208.0|28.0|5.0|207.0|191.0|13.0|171.0|207.0|0.0|36.0|2.0|207.0|139.0|44.0|207.0|207.0|9.0|184.0|19.0|207.0|207.0|174.0|200.0|157.0|199.0|0.0|0.0|0.0|1.0|C1
A01010407B0100|1|1|407|B|1|0|3|515|5|7|1||1||95|7|2|B1|1.0|1.0|5.0|407.0|100100500407.0|1.0|1.0|5.0|407.0|1449.0|4.57|1.28|451.0|318.0|450.0|318.0|49.0|84.0|317.0|242.0|58.0|194.0|312.0|3.0|121.0|15.0|295.0|171.0|17.0|281.0|281.0|3.0|237.0|66.0|301.0|267.0|256.0|266.0|154.0|297.0|20.0|31.0|14.0|2.0|B1
A01010413B0100|1|1|413|B|1|0|2|703|5|4|1||1||111|8|2|B1|1.0|1.0|5.0|413.0|100100500413.0|1.0|1.0|5.0|413.0|6412.0|3.55|0.73|2608.0|1826.0|2588.0|1826.0|605.0|177.0|1806.0|1715.0|60.0|1437.0|1783.0|20.0|362.0|25.0|1776.0|1598.0|1274.0|1794.0|1796.0|1056.0|1650.0|1216.0|1803.0|1769.0|1668.0|1762.0|1635.0|1792.0|25.0|6.0|2.0|0.0|B1
